base_model,feature_group,num_features,accuracy,precision,recall,f1,f2,roc_auc,mcc
XGBoost,All Features,81,0.9667541557305337,0.9643167972149695,0.9693788276465442,0.9668411867364747,0.9683621744450271,0.9941696920430878,0.9335211734226747
Random Forest,All Features,81,0.9623797025371829,0.9591659426585578,0.9658792650918635,0.962510897994769,0.9645290931329722,0.9934088510152329,0.9247820568489487
SVM,All Features,81,0.9540682414698163,0.9576719576719577,0.9501312335958005,0.9538866930171278,0.9516298633017876,0.9883060877232867,0.9081646365360599
Logistic Regression,All Features,81,0.9361329833770778,0.9392070484581497,0.9326334208223972,0.935908691834943,0.9339407744874715,0.9814221603751849,0.8722873327137197
Decision Tree,All Features,81,0.9356955380577427,0.9353146853146853,0.9361329833770778,0.9357236554438129,0.9359692092372288,0.9356955380577427,0.8713914096116941
Naive Bayes,All Features,81,0.7427821522309711,0.6920415224913494,0.8748906386701663,0.7727975270479135,0.8309788931361144,0.8050938077184796,0.5034554675506625
XGBoost,Content + External,26,0.9514435695538058,0.9526315789473684,0.9501312335958005,0.9513797634691196,0.9506302521008403,0.9837261156003795,0.9028902490744899
Random Forest,Content + External,26,0.94750656167979,0.9482909728308502,0.9466316710411199,0.9474605954465849,0.9469630666900053,0.9867675661277249,0.8950144935090135
Decision Tree,Content + External,26,0.9251968503937008,0.9204152249134948,0.9308836395450568,0.9256198347107438,0.9287709497206704,0.9251968503937008,0.8504487088589487
SVM,Content + External,26,0.9238845144356955,0.9238845144356955,0.9238845144356955,0.9238845144356955,0.9238845144356955,0.9705453484981045,0.847769028871391
Logistic Regression,Content + External,26,0.8906386701662292,0.882604970008569,0.9011373578302713,0.8917748917748918,0.8973688795957484,0.9506762223400991,0.7814496258974633
Naive Bayes,Content + External,26,0.705161854768154,0.6453812771233726,0.910761154855643,0.7554426705370102,0.841552142279709,0.784695766922398,0.45014053929189957
Random Forest,Content only,19,0.9041994750656168,0.9066901408450704,0.9011373578302713,0.903905221588416,0.9022424667133847,0.960674316410361,0.8084141105633865
XGBoost,Content only,19,0.8915135608048994,0.8841201716738197,0.9011373578302713,0.8925476603119584,0.8976817151821509,0.9549572926306347,0.7831722059036782
